<http://codes.wmo.int/def/bufr4/fxy>,@id,@notation,@status,rdf:type,rdfs:label,skos:notation,skos:note
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/105>,105,stable,skos:Concept,"'Haze or smoke, or dust in suspension in the air, visibility less than 1 km'@en",105,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/110>,110,stable,skos:Concept,'Mist'@en,110,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/111>,111,stable,skos:Concept,'Diamond dust'@en,111,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/112>,112,stable,skos:Concept,'Distant lightning'@en,112,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/118>,118,stable,skos:Concept,'Squalls'@en,118,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/120>,120,stable,skos:Concept,'Fog'@en,120,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/121>,121,stable,skos:Concept,'PRECIPITATION'@en,121,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/122>,122,stable,skos:Concept,'Drizzle (not freezing) or snow grains'@en,122,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/123>,123,stable,skos:Concept,'Rain (not freezing)'@en,123,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/124>,124,stable,skos:Concept,'Snow'@en,124,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/125>,125,stable,skos:Concept,'Freezing drizzle or freezing rain'@en,125,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/126>,126,stable,skos:Concept,'Thunderstorm (with or without precipitation)'@en,126,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/127>,127,stable,skos:Concept,'BLOWING OR DRIFTING SNOW OR SAND'@en,127,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/128>,128,stable,skos:Concept,"'Blowing or drifting snow or sand, visibility equal to, or greater than, 1 km'@en",128,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/129>,129,stable,skos:Concept,"'Blowing or drifting snow or sand, visibility less than 1 km'@en",129,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/130>,130,stable,skos:Concept,'FOG'@en,130,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/131>,131,stable,skos:Concept,'Fog or ice fog in patches'@en,131,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/132>,132,stable,skos:Concept,"'Fog or ice fog, has become thinner during the past hour'@en",132,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/133>,133,stable,skos:Concept,"'Fog or ice fog, no appreciable change during the past hour'@en",133,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/134>,134,stable,skos:Concept,"'Fog or ice fog, has begun or become thicker during the past hour'@en",134,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/135>,135,stable,skos:Concept,"'Fog, depositing rime'@en",135,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/140>,140,stable,skos:Concept,'PRECIPITATION'@en,140,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/141>,141,stable,skos:Concept,"'Precipitation, slight or moderate'@en",141,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/142>,142,stable,skos:Concept,"'Precipitation, heavy'@en",142,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/143>,143,stable,skos:Concept,"'Liquid precipitation, slight or moderate'@en",143,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/144>,144,stable,skos:Concept,"'Liquid precipitation, heavy'@en",144,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/145>,145,stable,skos:Concept,"'Solid precipitation, slight or moderate'@en",145,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/146>,146,stable,skos:Concept,"'Solid precipitation, heavy'@en",146,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/147>,147,stable,skos:Concept,"'Freezing precipitation, slight or moderate'@en",147,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/148>,148,stable,skos:Concept,"'Freezing precipitation, heavy'@en",148,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/150>,150,stable,skos:Concept,'DRIZZLE'@en,150,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/151>,151,stable,skos:Concept,"'Drizzle, not freezing, slight'@en",151,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/152>,152,stable,skos:Concept,"'Drizzle, not freezing, moderate'@en",152,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/153>,153,stable,skos:Concept,"'Drizzle, not freezing, heavy'@en",153,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/154>,154,stable,skos:Concept,"'Drizzle, freezing, slight'@en",154,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/155>,155,stable,skos:Concept,"'Drizzle, freezing, moderate'@en",155,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/156>,156,stable,skos:Concept,"'Drizzle, freezing, heavy'@en",156,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/157>,157,stable,skos:Concept,"'Drizzle and rain, slight'@en",157,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/158>,158,stable,skos:Concept,"'Drizzle and rain, moderate or heavy'@en",158,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/160>,160,stable,skos:Concept,'RAIN'@en,160,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/161>,161,stable,skos:Concept,"'Rain, not freezing, slight'@en",161,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/162>,162,stable,skos:Concept,"'Rain, not freezing, moderate'@en",162,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/163>,163,stable,skos:Concept,"'Rain, not freezing, heavy'@en",163,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/164>,164,stable,skos:Concept,"'Rain, freezing, slight'@en",164,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/165>,165,stable,skos:Concept,"'Rain, freezing, moderate'@en",165,""
