;location_id;city;culture_text
36;215066367;Borjomi;['Romanov Palace', 'Timotesubani monastery']
37;215926097;Gori;"['Gori Fortress', 'Virgin Mary Cathedral', 'Stalin Museum', ""Stalin's Birthplace"", 'Stalin Statue', 'Uplistsikhe']"
38;215895167;Kutaisi;['Bagrati Cathedral (former UNESCO World Heritage site)', 'Uqimerioni Fortress', 'Synagogue', 'St. Thekla church', 'St Elijah the prophet church.', 'St. Cyprian and Justina church', 'Parliament of Georgia', 'White Bridge', 'Soviet Mural', 'Small Local History museum', 'Kutaisi Museum of Sport', 'Kutaisi Museum of Martial Art', 'Museum of Zakaria Paliashvili', 'David Kakabadze Fine Art Gallery', 'Motsameta Monastery', 'final stop', 'Gelati Monastery', 'Geguti Palace', 'Vani archaeological site', 'Sataplia Nature Reserve']
39;215513794;Mtskheta;['Svetitskhoveli Cathedral', 'Jvari Monastery', 'Samtavro', 'Bebris Tsikhe', 'Shio Mgvime Monastery', 'Zedazeni Monastery', 'Armaztsikhe-Bagineti Archaeological Site']
40;374915810;Sighnaghi;"['Sighnaghi town wall', 'St. Stephen Church', 'Bodbe Convent', ""St. Nino's Spring"", 'St. Giorgi Church', 'Sighnaghi Museum', 'Bodbiskhevi Bazaar Sunday Market']"
41;36500291;Lodwar;['Basket market']
42;31004893;Malindi;['Vasco da Gama Pillar', 'Malindi Museum Society', 'Portuguese chapel', 'Falconry of Kenya', 'Watamu', 'The Hanging Gardens of Malindi']
43;36465890;Meru;['National Museums of Kenya-Meru Museum']
44;31947047;Nakuru;['Hyrax Hill Prehistoric Site and Museum']
45;82474325;Skopje;"['Stone Bridge', 'Macedonian National Theatre', 'Macedonia Square', 'Old City Hall', 'Alexander the Great Monument', 'Tsar Samuel Monument', 'Justinian I Monument', 'Art Bridge', 'Bridge of Civilisations in Macedonia', 'Mother Teresa Square', 'Old City Hall', 'Alexander the Great Monument', 'Tsar Samuel Monument', 'Justinian I Monument', 'Porta Macedonia', 'VMRO Square', 'Feudal Tower', 'Parliament Building', 'Park of the Woman Freedom Fighter', 'Government of the Republic of North Macedonia', 'Debar Maalo', 'Church of the Holy Mother of God', 'Church of Saints Constantine &amp; Elena', 'Saint Clement of Ohrid Cathedral', 'Museum of Archaeology', 'Museum of the Macedonian Struggle', 'Holocaust Memorial Centre for the Jews of Macedonia', 'Mother Teresa Memorial House', 'Old Railway Station – Skopje City Museum']"
46;82592258;Bitola;"['Clock Tower', 'Širok Sokak', 'Yeni Mosque', 'Magnolia Square', 'Church of Saint Demetrius', 'Church of the Holy Mother of God', 'Prespa-Pelagonia Diocese', 'Cathedral of the Sacred Heart', ""Officer's Hall"", 'National Museum of Bitola', 'Consulates', 'Along the Dragor River', 'Krkardaš', 'Bitola Zoo', 'Džepane', 'Heraclea Lyncestis', 'Bezisten', 'Ishak Çelebi Mosque', 'Deboj Hamam', 'Gazi Haydar Kadi Mosque', 'Church of Saint Nedela', 'French Military Cemetery', 'German Military Cemetery', 'Jewish Cemetery', 'Serb Military Cemetery', 'Bukovo Monastery', 'Church of the Holy Transfiguration', 'Velušina Monastery', 'Church of the Assumption of the Virgin Mary', 'Church of Saint George', 'Church of Saint Peter']"
47;82339624;Kratovo;"['Kratovo City Museum', 'Church of Saint John the Baptist', 'Church of Saint George of Kratovo', 'Argulički Bridge', 'Čaršiski Bridge', 'Gornoamamski Bridge', 'Grofčanski Bridge', 'Jokširski Bridge', 'Radin Bridge', 'Clock Tower', ""Krste's Tower"", ""Simikj's Tower"", 'Srez Tower', ""Zlatko's Tower"", 'Stone Dolls of Kuklica', 'Cocev Kamen', 'Golemo Gradište', 'Church of the Holy Mother of God', 'Church of Saint Nicholas']"
48;82528714;Krushevo;['Vršnik Cross', 'Mečkin Kamen', 'Kruševo Cemetery', 'Church of Saint Nicholas', 'Church of the Assumption', 'Church of Saint John', 'Church of the Holy Trinity', 'Monastery of the Transfiguartion', 'Ilinden Monument', 'Toše Proeski Memorial House', 'Nikola Martinovski Gallery', 'Museum of the Ilinden Uprising', 'Museum of National Liberation War']
49;82702447;Ohrid;"[""Tsar Samuel's Fortress"", 'Church of Saint Sofia', 'Church of Saint Mary Perivleptos', 'Church of Saints Constantine and Elena', 'Church of Saint Demetrius', 'Church of Saints Cosmas and Damian', 'Church of Saint John at Kaneo', 'Church of Saints Clement and Pantaleon', 'Early Christian church', 'Early Christian church', 'Church Saint Nicholas Bolnički &amp; Church of Saint Mary Bolnička', 'Church of Saint Clement of Ohrid', 'Church of the Holy Mother of God - Čelnica', 'Church of Saint Nicholas Gerakomija', 'Church of the Assumption of the Virgin Mary', 'Church of Saint Erasmus', 'Church of Saint Nicholas', 'Church of Saint George', 'Church of Saint Barbara', 'Ali Pasha Mosque', 'Zeynel Pasha Tekje', 'Prličev House', 'Uzunov House', 'Mesokastro Settlement', 'Kaneo Settlement', 'Ancient Theatre', 'Icon Gallery', 'Mančev Basilica', 'Ohrid Clock Tower', 'National Ohrid museum', 'Hand-made Paper Workshop', 'Haydar Pasha Mosque', 'Church of Saint Stefan Pancir', 'Bay of Bones Museum', 'Zaum Monastery', 'Monastery of Saint Naum', 'Black Drim Springs', 'Black Drim Springs', 'Church of the Dormition of the Virgin Mary', 'Duvalo']"
50;82412392;Prilep;"['Čento Square', 'Old Bazaar', 'Clock Tower', 'Čarši Mosque ruins', 'Alexander the Great statue', 'Kurşumli Han ruins', 'Church of the Annunciation', 'Church of Saints Cyril and Methodius', 'Mound of the Unbeaten', 'Stone Elephant', ""Marko's Towers"", 'Museum of Tobacco', 'Treskavec Monastery', 'Clock Tower', 'Čarši Mosque ruins', 'Varoš Monastery', 'Church of Saints Peter and Paul', 'Church of the Introduction of the Virgin Mary', 'Church of Saint Nicholas', 'Church of Saint Demetrius', 'Church of Saint Athanasius', 'Old Bonče', 'Zrze Monastery', 'Church of the Nativity of the Virgin Mary', 'Church of Saint Nicholas', 'Church of Saints Cosmas and Damian', 'Church of Saint George', 'Marble Lake']"
51;82398425;Shtip;['Štip Museum', 'Church of Saint Michael the Archangel', 'Isar Fortress', 'Husa Medin Pasha Mosque', 'Church of Saint Nicholas', 'Bezisten', 'Emir Küçük Bridge', 'Memorial of the Deported Jews', 'Memorial Complex of the Fallen Soldiers of the Revolution', 'Clock Tower', 'Church of Saint John the Baptist', 'Church of the Holy Savior', 'Church of Saint Michael the Archangel - Glavatov', 'Jewish cemetery', 'Church of the Dormition of the Virgin Mary', 'Museum of VMRO from Štip', 'Novo Selo School', 'Bargala', 'Church of Saint George', 'Church of Saint Nicholas']
52;82303728;Strumica;"['Goce Delčev Square', 'Strumica City Park', ""Tsar's Towers"", 'Strumica City Hall', 'Old Turkish Post Office', 'Strumica Museum', 'Hotel Srpski Kral', 'Kosturnica Memorial', 'Orta Mosque', 'Church of Saint Fifteen Tiveriopoulos Martyrs', 'Cathedral of the Assumption of the Blessed Virgin Mary', 'Church of Saints Cyril and Methodius', 'Veljusa Monastery', 'Vodoča Monastery', 'Bansko Baths', 'Strumin Tomb', 'Gabrovo Waterfalls', 'Old hamam and mosque of Banica', 'Angelci monastery complex', 'Church of Saint Petka', 'Church of the Assumption']"
53;138079747;Amsterdam;"['Amsterdam Centraal railway station', 'Beurs van Berlage', 'Royal Palace', 'Anne Frank House', 'Nationaal Monument', 'Begijnhof', 'Esnoga', 'Nieuwe Kerk', 'Oude Kerk', 'Zuiderkerk', 'Allard Pierson Museum', 'Amsterdam Museum', 'Civic Guards Gallery', 'Jewish Historical Museum', ""Ons' Lieve Heer op Solder"", 'Oranje Voetbal Museum', 'Rembrandt House']"
54;91270391;Delft;['Nieuwe Kerk', 'Stadhuis', 'Hugo de Groot (Hugo Grotius)', 'Drogisterij De Salamander', 'De Waag', 'Vleeshal', 'Visbanken', 'Beestenmarkt', 'Vrouwenregt', 'Oude Kerk', 'Gemeenlandshuis', 'Synagoge Delft', 'Armamentarium', 'Oost-Indisch Huis', 'Oostpoort', 'Artilleriemagazijn', 'Universiteitsbibliotheek', 'Bagijnetoren', 'Kruithuis', 'Botanische Tuin', 'Agnetapark', 'Hofje van Gratie', 'Hofje van Pauw', 'Klaeuwshofje', 'Het Prinsenhof', 'Science Centre Delft', 'Museum Paul Tétar van Elven', 'Molen de Roos']
55;138860125;The Hague;['Plein', 'Binnenhof', 'Mauritshuis', 'Galerij Prins Willem V', 'Gevangenpoort', 'Bredius Museum', 'Lange Voorhout', 'Escher in Het Paleis', 'Grote Kerk', 'Nieuwe Kerk', 'Oude Stadhuis', 'Stadhuis', 'Denneweg', 'Paleis Noordeinde', 'Royal Stables', 'Palace Gardens', 'Kunstmuseum Den Haag', 'Panorama Mesdag', 'Vredespaleis', 'Haagse Toren', 'Paleis Huis ten Bosch', 'Louwman Museum', 'Haags Openbaar Vervoer Museum', 'Begraafplaats Oud Eik en Duinen']
56;140022355;Leiden;['Stadhuis', 'Burcht van Leiden', 'Academiegebouw', 'Pieterskerk', 'Hooglandse Kerk', 'Gemeenlandshuis van Rijnland', 'Gravensteen', 'Oude Rijn', 'Molen De Put', 'De Waag', 'Weeshuis', 'Marekerk', 'Bibliotheca Thysiana', 'Stedelijk Gymnasium', 'Stadstimmerwerf', 'Koornbrug', 'Morspoort', 'Zijlpoort', 'Hortus Botanicus', 'Van der Werffpark', 'Museum Boerhaave', 'Nederlands Centrum voor Biodiversiteit Naturalis', 'Rijksmuseum van Oudheden', 'Rijksmuseum voor Volkenkunde', 'SieboldHuis', 'Museum De Lakenhal', 'Molenmuseum De Valk', 'Museum Het Leids Wevershuis', 'Leiden American Pilgrim Museum']
57;89316385;Maastricht;"['Vrijthof', 'St Servaas (Servatius) Basilica', 'Onze Lieve Vrouwebasiliek', 'Market &amp; Town Hall', 'Town wall', 'City Library', 'University Maastricht Library (centre)', 'University Maastricht Library (Randwyck)', 'Stadhuis', 'Bonnefantenmuseum', 'Centre Céramique', 'Derlon Museum Cellar', 'Natuurhistorisch Museum', 'Museum aan het Vrijthof', 'Saint Pietersberg Caves', 'Kazematten']"
58;93972679;Nijmegen;['Valkhof Museum', 'St. Stevenskerk', 'Nationaal Fietsmuseum Velorama', 'Aunt Hannie Movie and TV series museum', 'Africa Museum']
